"id","language","last_import_id","title"
"1703702","61435","BTM:HOTEL:1H0400:2fa54a5da9c766cf23eea29c88fd4316","Schlosspark-Hotel"
"1703702","1309886","BTM:HOTEL:1H0400:d23c90ede48c4d39194bcda7991c130f","Schlosspark-Hotel"
"1703737","61435","BTM:HOTEL:1H0464:28b35181604283016aaa61c48bb32a15","Hotel Zoo Berlin"
"1703737","1309886","BTM:HOTEL:1H0464:aca97d98b49d0bbc5fa5ada72a2654b2","Hotel Zoo Berlin"
"1703772","61435","BTM:HOTEL:1H0478:aa979bf574a8aefde0251a75e2a4b24e","Swissôtel Berlin Am Kurfürstendamm"
"1703772","1309886","BTM:HOTEL:1H0478:ff6b53334c155c33759c8bd2c2cca894","Swissôtel Berlin Am Kurfürstendamm"
"1703805","1309886","BTM:HOTEL:1H0530:a65a76533827576645e99e734e3ca222","Ku'Damm 101"
"1703805","61435","BTM:HOTEL:1H0530:e32adfe6602fefa2616f8aa0f18cd506","Ku'Damm 101"
"1703841","61435","BTM:HOTEL:1H0568:355eb0b66cabd5e87022a901084cd2b2","Ramada Plaza Berlin City Centre Hotel & Suites"
"1703841","1309886","BTM:HOTEL:1H0568:abb2b60075582b9ad674de894d95c032","Ramada Plaza Berlin City Centre Hotel & Suites"
"1703876","61435","BTM:HOTEL:1H0576:9137559c40f1c02eaa38f23c235e1d03","Lindner Hotel Am Ku'damm Berlin"
"1703876","1309886","BTM:HOTEL:1H0576:f8a2cf0e42f645ae3ddd885da2957a05","Lindner Hotel Am Ku'damm Berlin"
"1703911","61435","BTM:HOTEL:1H0599:57b3b3c2daf306b635eef649de247dea","Concorde Hotel am Studio"
"1703911","1309886","BTM:HOTEL:1H0599:c2daf0b7c2c0fad1b0f8c04696353bd9","Concorde Hotel am Studio"
"1703946","61435","BTM:HOTEL:1H0604:54e4d6ef93aea2576678687e8d6de1cc","AI Königshof"
"1703946","1309886","BTM:HOTEL:1H0604:c1c61157f02b9fc11f8b8648ead6a101","AI Königshof"
"1703981","61435","BTM:HOTEL:1H0606:6e2a15f5ebe83b2419a428ffb8706f5e","Maritim Hotel Berlin"
"1703981","1309886","BTM:HOTEL:1H0606:ee90da387e3af75ce157bf3b649c7d2c","Maritim Hotel Berlin"
"1704016","61435","BTM:HOTEL:1H0608:8507d9127f36ccacb090913468486fdd","Academy Hotel Berlin"
"1704016","1309886","BTM:HOTEL:1H0608:b695d511ac72e99de3a2848d0ad89b44","Academy Hotel Berlin"
"1704051","61435","BTM:HOTEL:1H0622:0362937b050d418c8ca4ee4576e27b6f","Novotel Berlin Am Tiergarten"
"1704051","1309886","BTM:HOTEL:1H0622:99d38bf5af30c7785e28ec3bd59cdaeb","Novotel Berlin Am Tiergarten"
"1704086","61435","BTM:HOTEL:1H0648:181fa5fa61d2b136617fa0bd1ec172e2","Amadeus am Kurfürstendamm"
"1704086","1309886","BTM:HOTEL:1H0648:3c061401b463a6da95bee6e8b713587c","Amadeus am Kurfürstendamm"
"1704120","1309886","BTM:HOTEL:1H0653:266572102ae5e0c63e59925bbada168d","Ellington Hotel Berlin"
"1704120","61435","BTM:HOTEL:1H0653:3ca22cc89b3c08494e5af6af6957ac1b","Ellington Hotel Berlin"
"1704155","1309886","BTM:HOTEL:1H0662:3efeaf7208fd6119f64fe269215739b9","Tom's Hotel (Gay Hotel)"
"1704155","61435","BTM:HOTEL:1H0662:6ef8f0417436b3bf87170687131c2764","Tom's Hotel (Gay Hotel)"
